Scientific_name	New	Common_name	Clade	Taxon_ID	Assembly_name	Accession	Genome_size_bps	Annotation_provider	Annotation_method	Annotation	Genome	RNA_Seq
Felis catus x Prionailurus bengalensis		Bengal (Bengal)	Mammals	2782171	Fcat_Pben_1.0_paternal_pri	GCA_016509475.1	2435702060	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Fragum fragum	NEW	Bivalves	Metazoa	80821	xbFraFrag2.1	GCA_946902895.1	1153070089	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Frankliniella occidentalis		Western flower thrips (FOCC.00)	Arthropods	133901	Focc_3.0	GCA_000697945.4	415771118	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Gallus gallus		Chicken (maternal broiler)	Birds	9031	bGalGal1.mat.broiler.GRCg7b	GCA_016699485.1	1053332251	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Gasterosteus aculeatus		Three-spined stickleback (freshwater)	Fish	69293	BOT	GCA_006229185.1	427295814	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Gibbula magus		Gastropods (alternate haplotype)	Metazoa	703304	xgGibMagu1.1_alternate_haplotype	GCA_936439675.1	1450877392	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Glaucopsyche alexis		Green-underside blue (alternate haplotype)	Lepidoptera	203781	ilGlaAlex1.1_alternate_haplotype	GCA_905404225.1	658797992	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Glaucopsyche alexis		Green-underside blue	Lepidoptera	203781	ilGlaAlex1.1	GCA_905404095.1	619528502	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Globicephala melas		Long-finned pilot whale	Mammals	9731	ASM654740v1	GCA_006547405.1	2333870982	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Griposia aprilina		Moths (alternate haplotype)	Lepidoptera	1101106	ilGriApri1.1_alternate_haplotype	GCA_916610245.1	680809608	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Gymnosoma rotundatum		Flies	Diptera	569046	idGymRotn1.2	GCA_916610165.2	779127282	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Habropoda laboriosa		Southeastern blueberry bee (0110345459)	Hymenoptera	597456	ASM126327v1	GCA_001263275.1	296954667	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Haemaphysalis longicornis		Longhorned tick (HaeL-2018)	Arthropods	44386	ASM1333976v1	GCA_013339765.1	2554970390	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	import	FASTA/GTF/GFF3/TSV	FASTA	
Haemonchus contortus		Barber pole worm (ISE inbred ISE)	Metazoa	6289	haemonchus_contortus_MHCO3ISE_4.0	GCA_000469685.2	283439308	Wellcome Sanger Institute	Import	FASTA/GTF/GFF3/TSV	FASTA	
Harpegnathos saltator		Indian jumping ant (DR-91)	Hymenoptera	610380	Hsal_v8.5	GCA_003227715.2	334161684	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Hecatera dysodea		Moths	Lepidoptera	988125	ilHecDyso1.2	GCA_905332915.2	640896252	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Hedya salicella		Moths	Lepidoptera	1869985	ilHedSali1.1	GCA_905404275.1	742375031	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Helicoverpa zea		Corn earworm (HzStark_Cry1AcR)	Lepidoptera	7113	ilHelZeax1.1	GCA_022581195.1	375180944	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Heterocephalus glaber		Naked mole-rat	Rodents	10181	Naked_mole-rat_paternal	GCA_944319725.1	2499457497	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Hipposideros armiger		Great roundleaf bat	Mammals	186990	ASM189008v1	GCA_001890085.1	2236581172	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Hipposideros galeritus		Cantor's roundleaf bat	Mammals	58069	HipGal_v1_BIUU	GCA_004027415.1	2440750851	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Homalodisca vitripennis		Glassy winged sharpshooter (AUS2020)	Hemiptera	197043	UT_GWSS_2.1	GCA_021130785.2	2305003542	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG03098.pri.mat.f1_v2)	Primates	9606	HG03098.pri.mat.f1_v2	GCA_018506165.1	3059506215	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG02080.pri.mat.f1_v2)	Primates	9606	HG02080.pri.mat.f1_v2	GCA_018504085.1	3033181500	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG00741.pri.mat.f1_v2)	Primates	9606	HG00741.pri.mat.f1_v2	GCA_018471095.1	3036685287	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG03492.pri.mat.f1_v2)	Primates	9606	HG03492.pri.mat.f1_v2	GCA_018505845.1	3023905738	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG005.alt.pat.f1_v2)	Primates	9606	HG005.alt.pat.f1_v2	GCA_018506945.1	2937775295	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG01952.pri.mat.f1_v2)	Primates	9606	HG01952.pri.mat.f1_v2	GCA_018471545.1	3020546425	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG03492.alt.pat.f1_v2)	Primates	9606	HG03492.alt.pat.f1_v2	GCA_018505835.1	2923665925	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG02630.alt.pat.f1_v2)	Primates	9606	HG02630.alt.pat.f1_v2	GCA_018469945.1	3053402297	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG00735.pri.mat.f1_v2)	Primates	9606	HG00735.pri.mat.f1_v2	GCA_018472765.1	3037778542	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG02630.pri.mat.f1_v2)	Primates	9606	HG02630.pri.mat.f1_v2	GCA_018469955.1	3041860872	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (NA20129.pri.mat.f1_v2)	Primates	9606	NA20129.pri.mat.f1_v2	GCA_018504635.1	3045032577	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Homo sapiens		Human (HG01978.pri.mat.f1_v2)	Primates	9606	HG01978.pri.mat.f1_v2	GCA_018472865.1	3051852830	Ensembl	Projection from GRCh38	FASTA/GTF/GFF3/TSV	FASTA	
Hyalomma asiaticum		Ticks (Hyas-2018)	Arthropods	266040	ASM1333968v1	GCA_013339685.1	1713631380	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	import	FASTA/GTF/GFF3/TSV	FASTA	
Hydraecia micacea		Rosy rustic (alternate haplotype)	Lepidoptera	214171	ilHydMica1.1_alternate_haplotype	GCA_914767565.1	503427563	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Hylaea fasciaria		Moths (alternate haplotype)	Lepidoptera	722673	ilHylFasc1.1_alternate_haplotype	GCA_905147295.1	256092023	Ensembl	Braker	FASTA/GTF/GFF3/TSV	FASTA	
Hylobates moloch		Silvery gibbon	Primates	81572	HMol_V2	GCA_009828535.2	2848329432	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Hypsibius exemplaris		Water bear tardigrade (Z151)	Metazoa	2072580	nHd_3.1	GCA_002082055.1	104154999	Institute for Advanced Biosciences, Keio University	Import	FASTA/GTF/GFF3/TSV	FASTA	
Inachis io		European peacock	Lepidoptera	171585	ilAglIoxx1.1	GCA_905147045.1	384156914	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Inachis io		European peacock (alternate haplotype)	Lepidoptera	171585	ilAglIoxx1.1_alternate_haplotype	GCA_905147125.1	381505224	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ixodes persulcatus		Taiga tick (Iper-2018)	Arthropods	34615	BIME_Iper_1.3	GCA_013358835.1	1901640799	TIGMIC Group, Beijing Institute of Microbiology and Epidemiology	import	FASTA/GTF/GFF3/TSV	FASTA	
Ixodes scapularis		Black-legged tick (PalLabHiFi)	Arthropods	6945	ASM1692078v2	GCA_016920785.2	2226883318	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Jaculus jaculus		Lesser Egyptian jerboa	Rodents	51337	mJacJac1.mat.Y.cur	GCA_020740685.1	2863865261	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Lasioglossum morio		Bees (alternate haplotype)	Hymenoptera	88514	iyLasMori1.1_alternate_haplotype	GCA_916610115.1	505639423	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Lemur catta		Ring-tailed lemur	Primates	9447	LemCat_v1_BIUU	GCA_004024665.1	2298449872	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Leptobrachium leishanense		Leishan spiny toad	Amphibians	445787	ASM966780v1	GCA_009667805.1	3549060464	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Limnoperna fortunei		Bivalves	Metazoa	356393	xbLimFort5.1	GCA_944474755.1	1335559959	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Luperina testacea		Moths (alternate haplotype)	Lepidoptera	988174	ilLupTest1.1_alternate_haplotype	GCA_927399495.1	593701007	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Lycaena phlaeas		Common copper	Lepidoptera	282391	ilLycPhla1.1	GCA_905333005.2	420468287	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Macaca fascicularis		Crab-eating macaque	Primates	9541	mfascicularis_v7_phased	GCA_903645265.1	2552369852	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Macaca thibetana thibetana		Pere David's macaque	Primates	257877	ASM2454274v1	GCA_024542745.1	2822383045	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Macaria notata		Moths	Lepidoptera	688445	ilMacNota1.1	GCA_927399415.1	393772068	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Machimus atricapillus		Flies	Diptera	2794001	idMacAtri3.1	GCA_933228815.1	268627744	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Malurus cyaneus samueli		Superb fairywren	Birds	2593467	mCya_1.0	GCA_009741485.1	1078874851	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Maniola jurtina		Meadow brown (alternate haplotype)	Lepidoptera	191418	ilManJurt1.1_alternate_haplotype	GCA_905333105.1	374714435	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Megalops cyprinoides		Indo-Pacific tarpon	Fish	118141	fMegCyp1.pri	GCA_013368585.1	959241634	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melanostoma mellinum		Flies (alternate haplotype)	Diptera	653684	idMelMell2.2_alternate_haplotype	GCA_914767615.2	698392656	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melanostoma mellinum		Flies	Diptera	653684	idMelMell2.1	GCA_914767635.1	731024304	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melinaea marsaeus rileyi		Butterflies	Lepidoptera	331333	ilMelMars1.1	GCA_918358865.1	503491660	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melinaea menophilus n. ssp. AW-2005		Butterflies (alternate haplotype)	Lepidoptera	331302	ilMelMeno1.2_alternate_haplotype	GCA_918361105.2	477590851	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melinaea menophilus n. ssp. AW-2005		Butterflies	Lepidoptera	331302	ilMelMeno1.1	GCA_918358695.1	496044222	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Melitaea cinxia		Glanville fritillary	Lepidoptera	113334	ilMelCinx1.1	GCA_905220565.1	499397863	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mesocricetus auratus		Golden hamster	Rodents	10036	BCM_Maur_2.0	GCA_017639785.1	2457062007	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mesoligia furuncula		Moths (alternate haplotype)	Lepidoptera	997551	ilMesFuru1.1_alternate_haplotype	GCA_916611985.1	870828391	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Micropterus salmoides		Largemouth bass	Fish	27706	ASM2243578v1	GCA_022435785.1	844893128	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Monomorium pharaonis		Pharaoh ant (MP-MQ-018)	Hymenoptera	307658	ASM1337386v2	GCA_013373865.2	325506644	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Mugil cephalus		Flathead mullet	Fish	48193	CIBA_Mcephalus_1.1	GCA_022458985.1	634849760	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Mus minutoides		Southern African pygmy mouse	Rodents	10105	Mus_minutoides_I2396_v1	GCA_902729485.1	2419477202	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Mustela putorius		European polecat	Mammals	9668	polecat_10x_lmp_	GCA_902460205.1	2464261309	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Myripristis murdjan		Pinecone soldierfish	Fish	586833	fMyrMur1.1	GCA_902150065.1	835254674	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mythimna albipuncta		Moths (alternate haplotype)	Lepidoptera	987983	ilMytAlbi1.1_alternate_haplotype	GCA_929113785.1	704337577	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mythimna albipuncta		Moths	Lepidoptera	987983	ilMytAlbi1.1	GCA_929112965.1	698550901	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mythimna ferrago		Moths (alternate haplotype)	Lepidoptera	997540	ilMytFerr1.2_alternate_haplotype	GCA_910589535.2	784265446	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Mythimna impura		Moths (alternate haplotype)	Lepidoptera	987985	ilMytImpu1.1_alternate_haplotype	GCA_905147275.1	975869290	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Neodiprion virginianus		Hymenopterans	Hymenoptera	2961670	iyNeoVirg1.1	GCA_021901495.1	262970509	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Nezara viridula		Southern green stink bug	Hemiptera	85310	PGI_NEZAVIv3	GCA_928085145.1	1185128795	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Nibea albiflora		White flower croaker	Fish	240163	ASM1428187v1	GCA_014281875.1	627578634	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Nilaparvata lugens		Brown planthopper (BPH)	Hemiptera	108931	ASM1435652v1	GCA_014356525.1	1087825591	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Noctua fimbriata		Moths (alternate haplotype)	Lepidoptera	753202	ilNocFimb1.1_alternate_haplotype	GCA_905163425.1	530592961	Ensembl	Braker	FASTA/GTF/GFF3/TSV	FASTA	
Noctua janthe		Moths (alternate haplotype)	Lepidoptera	987995	ilNocJant1.1_alternate_haplotype	GCA_910589505.1	527981379	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Nomada fabriciana		Bees	Hymenoptera	601510	iyNomFabr1.1	GCA_907165295.1	233584371	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Notolabrus celidotus		New Zealand spotty	Fish	1203425	fNotCel1.pri	GCA_009762535.1	846744125	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Opisthograptis luteolata		Moths	Lepidoptera	934882	ilOpiLute1.2	GCA_931315375.2	363184807	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Orbicella faveolata		Mountainous star coral (FL)	Metazoa	48498	ofav_dov_v1	GCA_002042975.1	485548939	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Oreochromis aureus		Blue tilapia (Guangdong)	Fish	47969	ZZ_aureus	GCA_013358895.1	1005575223	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Orgyia antiqua		Rusty tussock moth (alternate haplotype)	Lepidoptera	335469	ilOrgAnti1.1_alternate_haplotype	GCA_917414775.1	419928863	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Orgyia antiqua		Rusty tussock moth	Lepidoptera	335469	ilOrgAnti1.1	GCA_916999025.1	480094981	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Orius laevigatus	NEW	Minute pirate bug	Hemiptera	82742	ASM1870368v1	GCA_018703685.1	150957203	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ornithorhynchus anatinus		Platypus	Mammals	9258	mOrnAna1.p.v1	GCA_004115215.2	1858552590	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (IR64)	Plants	39946	OsIR64RS1	GCA_009914875.1	387434309	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Larha Mugad)	Plants	39946	Os125619RS1	GCA_009831355.1	391869645	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Minghui 63)	Plants	39946	MH63RS2	GCA_001618785.1	395765488	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Zhenshan 97)	Plants	39946	ZS97RS3	GCA_001618795.1	391561630	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Gobol Sail Balam)	Plants	39946	Os132424RS1	GCA_009831025.1	392847014	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Lima)	Plants	39946	Os127564RS1	GCA_009829395.1	405399143	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Liu Xu)	Plants	39946	Os125827RS1	GCA_009829375.1	490154521	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (PR106)	Plants	39946	Os127742RS1	GCA_009831045.1	394601903	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa Indica Group		Indica rice (Khao Yai Guang)	Plants	39946	Os127518RS1	GCA_009831295.1	399249348	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa aromatic subgroup		Aromatic rice (ARC 10497)	Plants	1736658	Os117425RS1	GCA_009831255.1	380354188	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa aus subgroup		Aus rice (N22)	Plants	1736659	OsN22RS2	GCA_001952365.2	388175468	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa aus subgroup		Aus rice (Natel Boro)	Plants	1736659	Os127652RS1	GCA_009831335.1	384203823	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa tropical japonica subgroup		Japonica rice (Chao Meo)	Plants	1736656	Os132278RS1	GCA_009831315.1	383243376	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa tropical japonica subgroup		Japonica rice (Azucena)	Plants	1736656	AzucenaRS1	GCA_009830595.1	381570127	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryza sativa tropical japonica subgroup		Japonica rice (Ketan Nangka)	Plants	1736656	Os128077RS1	GCA_009831275.1	382007384	Gramene	External annotation import	FASTA/GTF/GFF3/TSV	FASTA	
Oryzias latipes		Japanese medaka (HSOK)	Fish	8090	ASM223469v1	GCA_002234695.1	744414398	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Oryzias latipes		Japanese medaka (HNI)	Fish	8090	ASM223471v1	GCA_002234715.1	677633405	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Oryzias latipes		Japanese medaka	Fish	8090	ASM223467v1	GCA_002234675.1	734057086	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Owenia fusiformis		Segmented worms	Metazoa	6347	Owenia_assembly_annotated	GCA_903813345.1	518843022	Chema Martin-Duran lab., School of Biological and Chemical Sciences, Queen Mary University Of London	Import	FASTA/GTF/GFF3/TSV	FASTA	
Pammene fasciana		Moths	Lepidoptera	1101027	ilPamFasc1.1	GCA_911728535.1	564421490	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Pammene fasciana		Moths (alternate haplotype)	Lepidoptera	1101027	ilPamFasc1.2_alternate_haplotype	GCA_911728525.2	566084733	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Pandemis cinnamomeana		Moths (alternate haplotype)	Lepidoptera	753214	ilPanCinn1.1_alternate_haplotype	GCA_932294335.1	398629950	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Pandemis cinnamomeana		Moths	Lepidoptera	753214	ilPanCinn1.1	GCA_932294345.1	426119673	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Panthera leo x Panthera tigris		Tiger	Mammals	235915	P.tigris_Pti1_mat1.0	GCA_018350195.1	2408678698	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Panthera leo x Panthera tigris		Lion	Mammals	235915	P.leo_Ple1_pat1.0	GCA_018350215.1	2297552363	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Papilio machaon		Common yellow swallowtail (alternate haplotype)	Lepidoptera	76193	ilPapMach1.2_alternate_haplotype	GCA_912999765.2	229243718	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Papilio machaon		Common yellow swallowtail (alternate haplotype)	Lepidoptera	76193	ilPapMach1.1_alternate_haplotype	GCA_912999765.1	255982418	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Papio anubis		Olive baboon	Primates	9555	Panubis1.0	GCA_008728515.1	2869821163	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Paracanthobrama guichenoti		Bony fishes	Fish	291819	ASM1874946v1	GCA_018749465.1	1087742959	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Parambassis ranga		Indian glassy fish	Fish	210632	fParRan2.2	GCA_900634625.2	551012959	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Parambassis ranga		Indian glassy fish	Fish	210632	fParRan2.1	GCA_900634625.1	551012959	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Parapoynx stratiotata		Moths	Lepidoptera	1594321	ilParStra1.1	GCA_910589355.1	478233360	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Pararge aegeria		Speckled Wood Butterfly (alternate haplotype)	Lepidoptera	116150	ilParAegt1.1_alternate_haplotype	GCA_905163545.1	440921836	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Pararge aegeria		Speckled Wood Butterfly	Lepidoptera	116150	ilParAegt1.1	GCA_905163445.1	516571003	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Parasteatoda tepidariorum		Common house spider (Goettingen)	Arthropods	114398	Ptep_3.0	GCA_000365465.3	1228972128	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Passer domesticus		House sparrow	Birds	48849	Passer_domesticus-1.0	GCA_001700915.1	1042703894	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Patella pellucida		Gastropods	Metazoa	88005	xgPatPell1.1	GCA_917208275.1	712057054	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Patella vulgata		Common limpet (alternate haplotype)	Metazoa	6465	xgPatVulg1.1_alternate_haplotype	GCA_932274405.1	690224887	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Patella vulgata		Common limpet	Metazoa	6465	xgPatVulg1.1	GCA_932274485.1	694468775	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Patiria miniata		Bat star starfish (m_02_andy)	Metazoa	46514	Pmin_3.0	GCA_015706575.1	608344308	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Pectinophora gossypiella		Pink bollworm (alternate haplotype)	Lepidoptera	13191	ilPecGoss1.1_alternate_haplotype	GCA_024362825.1	322000363	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Pectinophora gossypiella		Pink bollworm	Lepidoptera	13191	ilPecGoss1.1	GCA_024362695.1	476509747	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Penaeus chinensis		Fleshy prawn	Arthropods	139456	ASM1920278v2	GCA_019202785.2	1466079641	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Penaeus monodon		Black tiger shrimp (SGIC_2016)	Arthropods	6687	NSTDA_Pmon_1	GCA_015228065.1	2394347767	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Penaeus vannamei		Pacific white shrimp	Arthropods	6689	ASM378908v1	GCA_003789085.1	1663581301	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Peribatodes rhomboidaria		Willow beauty (alternate haplotype)	Lepidoptera	190356	ilPerRhom1.1_alternate_haplotype	GCA_911728505.1	489305594	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Peribatodes rhomboidaria		Willow beauty	Lepidoptera	190356	ilPerRhom1.1	GCA_911728515.1	499713095	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Peromyscus leucopus		White-footed mouse	Rodents	10041	Pero_0.1	GCA_004664715.1	2474071336	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Petromyzon marinus		Sea lamprey	Chordates	7757	kPetMar1.pri	GCA_010993605.1	1089050413	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Phaedon cochleariae		Mustard beetle	Coleoptera	80249	PGI_PHAECO_v1	GCA_918026855.1	869734947	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Phalera bucephala		Moths (alternate haplotype)	Lepidoptera	753216	ilPhaBuce1.2_alternate_haplotype	GCA_905147805.2	858026449	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
