Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Astyanax mexicanus,GCA_019721115.1,Clupeocephala,90,78.95,"Mir-1329, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-729, Mir-76",102,89.47,"Mir-1306, Mir-147, Mir-191, Mir-2184, Mir-4541, Mir-551, Mir-71, Mir-7132, Mir-7133, Mir-728, Mir-734, Mir-875"
Otus sunia,GCA_010365825.1,Neognathae,107,83.59,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76",111,86.72,"Mir-1467, Mir-1781, Mir-2984, Mir-737"
Homo sapiens,GCA_018469865.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Sigmodon hispidus,GCA_004025045.1,Glires,148,67.27,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-6529, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76, Mir-769, Mir-885",180,81.82,"Mir-105, Mir-1249, Mir-1277, Mir-1329, Mir-147, Mir-1911, Mir-2355, Mir-2483, Mir-296, Mir-3059, Mir-330, Mir-339, Mir-345, Mir-350, Mir-432, Mir-452, Mir-486, Mir-489, Mir-504, Mir-511, Mir-541, Mir-542, Mir-590, Mir-599, Mir-628, Mir-676, Mir-722, Mir-737, Mir-760, Mir-876, Mir-877, Mir-9851"
Dryobotodes eremita,GCA_917490735.1,Lepidoptera,45,67.16,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988"
Asterias rubens,GCA_902459465.3,Eleutherozoa,27,62.79,"Mir-190, Mir-281, Mir-315",40,93.02,"Mir-103, Mir-2002, Mir-2004, Mir-2005, Mir-2007, Mir-2008, Mir-2009, Mir-2010, Mir-2011, Mir-2012, Mir-216, Mir-22, Mir-34"
Bibio marci,GCA_910594895.1,Diptera,44,65.67,"Mir-1175, Mir-153, Mir-1993, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-750, Mir-87, Mir-988",57,85.07,"Bantam, Let-7, Mir-14, Mir-2765, Mir-29, Mir-306, Mir-316, Mir-71, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Stelis phaeoptera,GCA_943735895.1,Endopterygota,43,67.19,"Mir-1000, Mir-124, Mir-153, Mir-1993, Mir-242, Mir-281, Mir-3049, Mir-36, Mir-970, Mir-989",54,84.38,"Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971"
Homo sapiens,GCA_018466985.1,Catarrhini,207,84.49,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",220,89.8,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-624, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Homo sapiens,GCA_018471085.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Desmodus rotundus,GCA_002940915.1,Laurasiatheria,142,65.44,"Mir-1397, Mir-1416, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-1911, Mir-1912, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-296, Mir-2970, Mir-315, Mir-3613, Mir-375, Mir-4057, Mir-425, Mir-448, Mir-456, Mir-458, Mir-460, Mir-491, Mir-675, Mir-7147, Mir-7180, Mir-725, Mir-727, Mir-737, Mir-76, Mir-877, Mir-935, Mir-9851",178,82.03,"Mir-1298, Mir-1329, Mir-134, Mir-1379, Mir-147, Mir-1842, Mir-197, Mir-2114, Mir-224, Mir-2355, Mir-2387, Mir-335, Mir-337, Mir-339, Mir-350, Mir-361, Mir-374, Mir-384, Mir-452, Mir-4541, Mir-488, Mir-489, Mir-504, Mir-541, Mir-592, Mir-652, Mir-6529, Mir-653, Mir-671, Mir-672, Mir-676, Mir-71, Mir-722, Mir-726, Mir-769, Mir-873"
Penaeus vannamei,GCA_003789085.1,Pancrustacea,34,64.15,"Mir-137, Mir-1993, Mir-242, Mir-31, Mir-315, Mir-36, Mir-375, Mir-8",45,84.91,"Iab-4, Mir-216, Mir-22, Mir-275, Mir-2765, Mir-282, Mir-3, Mir-316, Mir-33, Mir-67, Mir-965"
Betta splendens,GCA_900634795.2,Clupeocephala,98,85.96,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-729, Mir-76",101,88.6,"Mir-147, Mir-456, Mir-875"
Homo sapiens,GCA_018466845.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Apamea monoglypha,GCA_911387735.2,Lepidoptera,46,68.66,"Mir-3049, Mir-315",65,97.01,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-306, Mir-36, Mir-375, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Ophonus ardosiacus,GCA_943142095.1,Endopterygota,47,73.44,"Mir-193, Mir-242, Mir-3, Mir-3049, Mir-306, Mir-36",58,90.62,"Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-316, Mir-932, Mir-965, Mir-970, Mir-989"
Thera britannica,GCA_939531245.1,Lepidoptera,43,64.18,"Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-210, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-375, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Odocoileus hemionus hemionus,GCA_004115125.1,Laurasiatheria,173,79.72,"Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-590, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737",188,86.64,"Mir-197, Mir-2114, Mir-325, Mir-350, Mir-431, Mir-448, Mir-486, Mir-598, Mir-653, Mir-672, Mir-676, Mir-71, Mir-722, Mir-76, Mir-877"
Rhipicephalus sanguineus,GCA_013339695.1,Chelicerata,46,90.2,"Mir-1993, Mir-216, Mir-242",48,94.12,"Mir-193, Mir-5735"
Pheosia gnoma,GCA_905404125.1,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-929, Mir-932, Mir-970, Mir-988, Mir-999"
Capra hircus,GCA_004361675.1,Laurasiatheria,150,69.12,"Mir-1247, Mir-1249, Mir-1301, Mir-1397, Mir-1416, Mir-142, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-185, Mir-1911, Mir-2001, Mir-203, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-324, Mir-335, Mir-361, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-488, Mir-505, Mir-542, Mir-6715, Mir-675, Mir-676, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-877, Mir-935",170,78.34,"Mir-105, Mir-1277, Mir-1329, Mir-134, Mir-1379, Mir-186, Mir-1912, Mir-224, Mir-325, Mir-337, Mir-350, Mir-431, Mir-448, Mir-4541, Mir-598, Mir-652, Mir-672, Mir-7180, Mir-722, Mir-737"
Notolabrus celidotus,GCA_009762535.1,Clupeocephala,98,85.96,"Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-875",105,92.11,"Mir-1329, Mir-147, Mir-4541, Mir-71, Mir-729, Mir-737, Mir-76"
Leptidea sinapis,GCA_905404315.1,Lepidoptera,45,67.16,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-988",57,85.07,"Mir-1000, Mir-14, Mir-219, Mir-2765, Mir-277, Mir-306, Mir-929, Mir-932, Mir-970, Mir-971, Mir-989, Mir-999"
Xestia xanthographa,GCA_905147715.1,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Acanthopagrus latus,GCA_904848185.1,Clupeocephala,99,86.84,"Mir-1329, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-76, Mir-875",105,92.11,"Mir-147, Mir-2001, Mir-32, Mir-71, Mir-7132, Mir-729"
Gibbula magus,GCA_936450465.1,Mollusca,48,92.31,,52,100.0,"Mir-1984, Mir-1985, Mir-242, Mir-2722"
Aricia agestis,GCA_905147365.1,Lepidoptera,48,71.64,"Mir-12, Mir-242, Mir-3049, Mir-375",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-3, Mir-315, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Maniola jurtina,GCA_905333055.1,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-219, Mir-22, Mir-2765, Mir-932, Mir-957, Mir-970, Mir-988"
Neodiprion lecontei,GCA_021901455.1,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-965"
Pieris napi,GCA_905475465.1,Lepidoptera,47,70.15,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-988, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-375, Mir-929, Mir-932, Mir-970"
Sciurus carolinensis,GCA_902686445.2,Glires,175,79.55,"Mir-1307, Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",192,87.27,"Mir-1416, Mir-2114, Mir-337, Mir-378, Mir-384, Mir-448, Mir-511, Mir-541, Mir-574, Mir-592, Mir-598, Mir-672, Mir-722, Mir-737, Mir-770, Mir-877, Mir-885"
Copidosoma floridanum,GCA_000648655.2,Endopterygota,39,60.94,"Let-7, Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-375, Mir-87, Mir-970, Mir-989",53,82.81,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-316, Mir-67, Mir-929, Mir-932, Mir-965, Mir-971"
Xylocampa areola,GCA_935412865.1,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-317, Mir-36, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-277, Mir-315, Mir-316, Mir-34, Mir-932, Mir-970, Mir-988, Mir-999"
Bombus difficillimus,GCA_014737525.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Dromaius novaehollandiae,GCA_016128335.1,Archosauria,102,85.71,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",104,87.39,"Mir-1720, Mir-451"
Homo sapiens,GCA_018467005.1,Catarrhini,184,75.1,"Mir-105, Mir-1298, Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-188, Mir-1911, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-224, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-361, Mir-362, Mir-374, Mir-384, Mir-4057, Mir-448, Mir-452, Mir-4541, Mir-456, Mir-504, Mir-505, Mir-542, Mir-651, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-934",201,82.04,"Mir-1277, Mir-1329, Mir-1379, Mir-1416, Mir-1912, Mir-2387, Mir-325, Mir-450, Mir-458, Mir-460, Mir-652, Mir-672, Mir-676, Mir-71, Mir-7180, Mir-722, Mir-737"
Nibea albiflora,GCA_014281875.1,Clupeocephala,97,85.09,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-729, Mir-76, Mir-875",101,88.6,"Mir-147, Mir-32, Mir-451, Mir-7132"
Dryobotodes eremita,GCA_917490515.1,Lepidoptera,44,65.67,"Mir-12, Mir-1993, Mir-3049, Mir-315, Mir-36, Mir-375",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Xestia xanthographa,GCA_905147755.1,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Sarcophilus harrisii,GCA_902635505.1,Theria,98,78.4,"Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-459, Mir-590, Mir-675, Mir-7147, Mir-725, Mir-727, Mir-76, Mir-873",105,84.0,"Mir-147, Mir-281, Mir-4541, Mir-71, Mir-722, Mir-726, Mir-737"
Mythimna impura,GCA_905147345.1,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-33, Mir-957, Mir-970, Mir-988, Mir-999"
Meriones unguiculatus,GCA_004026785.1,Muridae,151,63.98,"Mir-1296, Mir-1307, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-374, Mir-4057, Mir-452, Mir-458, Mir-460, Mir-590, Mir-6529, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76, Mir-877, Mir-885, Mir-9851",198,83.9,"Mir-1277, Mir-1301, Mir-1329, Mir-1343, Mir-1388, Mir-185, Mir-1911, Mir-1955, Mir-1962, Mir-217, Mir-2355, Mir-242, Mir-298, Mir-3072, Mir-3075, Mir-3112, Mir-326, Mir-345, Mir-346, Mir-351, Mir-383, Mir-384, Mir-432, Mir-448, Mir-4541, Mir-456, Mir-489, Mir-504, Mir-505, Mir-511, Mir-540, Mir-541, Mir-574, Mir-628, Mir-667, Mir-671, Mir-672, Mir-674, Mir-676, Mir-700, Mir-71, Mir-722, Mir-737, Mir-760, Mir-769, Mir-872, Mir-879"
Rhipicephalus microplus,GCA_013339725.1,Chelicerata,45,88.24,"Mir-193, Mir-1993, Mir-216, Mir-242",47,92.16,"Mir-36, Mir-5735"
Homo sapiens,GCA_018505825.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Blastobasis adustella,GCA_907269055.1,Lepidoptera,36,53.73,"Mir-1175, Mir-12, Mir-14, Mir-153, Mir-210, Mir-216, Mir-219, Mir-281, Mir-3049, Mir-306, Mir-315, Mir-317, Mir-34, Mir-36, Mir-71, Mir-750, Mir-92, Mir-957, Mir-988, Mir-999",47,70.15,"Mir-1000, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-2765, Mir-277, Mir-29, Mir-3, Mir-932, Mir-970"
Homo sapiens,GCA_018471345.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Plutella xylostella,GCA_932276165.1,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988"
Homo sapiens,GCA_018470465.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Cheumatopsyche charites,GCA_024721215.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-33, Mir-36, Mir-989",56,87.5,"Mir-1000, Mir-12, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-306, Mir-316, Mir-970, Mir-971"
Zootoca vivipara,GCA_011800845.1,Lepidosauria,101,85.59,"Mir-1416, Mir-2001, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-725, Mir-76",106,89.83,"Mir-1397, Mir-2184, Mir-4057, Mir-722, Mir-7463"
Ooceraea biroi,GCA_003672135.1,Endopterygota,44,68.75,"Mir-153, Mir-242, Mir-3049, Mir-36, Mir-970",59,92.19,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Ocypus olens,GCA_910593855.1,Endopterygota,48,75.0,"Mir-1993, Mir-242, Mir-278, Mir-306",60,93.75,"Mir-12, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-3049, Mir-316, Mir-965, Mir-970, Mir-989"
Cygnus olor,GCA_009769625.2,Neognathae,101,78.91,"Mir-150, Mir-1781, Mir-2001, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76",109,85.16,"Mir-1397, Mir-1467, Mir-1720, Mir-1729, Mir-2984, Mir-599, Mir-726, Mir-875"
Noctua pronuba,GCA_905220335.1,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988"
Emmelina monodactyla,GCA_916618145.1,Lepidoptera,44,65.67,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",56,83.58,"Mir-1000, Mir-14, Mir-242, Mir-2765, Mir-2796, Mir-306, Mir-929, Mir-932, Mir-965, Mir-970, Mir-971, Mir-988"
Homo sapiens,GCA_018472565.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Furcula furcula,GCA_911728485.2,Lepidoptera,45,67.16,"Mir-3049, Mir-315, Mir-36",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-306, Mir-92, Mir-929, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Carterocephalus palaemon,GCA_944567795.1,Lepidoptera,43,64.18,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-71, Mir-957, Mir-970, Mir-999",57,85.07,"Mir-1000, Mir-137, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-87, Mir-932, Mir-971, Mir-988"
Tragelaphus strepsiceros,GCA_006410795.1,Laurasiatheria,172,79.26,"Mir-1397, Mir-1416, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-320, Mir-337, Mir-370, Mir-375, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-675, Mir-725, Mir-726, Mir-727, Mir-76",188,86.64,"Mir-1301, Mir-1379, Mir-2001, Mir-2114, Mir-325, Mir-330, Mir-350, Mir-4541, Mir-598, Mir-653, Mir-672, Mir-676, Mir-71, Mir-7147, Mir-722, Mir-737"
Bombus waltoni,GCA_014737395.1,Endopterygota,46,71.88,"Mir-153, Mir-242, Mir-36, Mir-970, Mir-989",59,92.19,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Nowickia ferox,GCA_936439885.1,Diptera,43,64.18,"Mir-14, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1000, Mir-1175, Mir-153, Mir-193, Mir-2001, Mir-275, Mir-29, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Acanthaster planci,GCA_001949145.1,Eleutherozoa,29,67.44,"Mir-190, Mir-216, Mir-281, Mir-315",39,90.7,"Mir-2002, Mir-2004, Mir-2005, Mir-2006, Mir-2007, Mir-2009, Mir-2010, Mir-2011, Mir-2012, Mir-22"
Micropterix aruncella,GCA_944548615.1,Lepidoptera,42,62.69,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-306, Mir-316, Mir-33, Mir-750, Mir-929, Mir-932, Mir-970, Mir-971, Mir-988, Mir-989"
Lysandra coridon,GCA_905220525.1,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Petromyzon marinus,GCA_010993605.1,Cyclostomata,79,86.81,"Mir-242, Mir-252, Mir-278, Mir-31",87,95.6,"Mir-101, Mir-1329, Mir-147, Mir-155, Mir-2001, Mir-4057, Mir-71, Mir-76"
Bombus vosnesenskii,GCA_011952255.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
